WAV,ION
770.409,NeVIII
780.324,NeVIII
937.814,LyE
949.742,LyD
977.03,CIII
989.79,NIII
991.514,NIII
991.579,NIII
1025.722,LyB
1031.912,OVI
1037.613,OVI
1066.66,ArI
1215.67,LyA
1238.821,NV
1242.804,NV
1260.422,SiII
1264.73,SiII
1302.168,OI
1334.532,CII
1335.708,CII
1393.755,SiIV
1397.232,OIV]
1399.78,OIV]
1402.77,SiIV
1486.496,NIV]
1548.187,CIV
1550.772,CIV
1640.42,HeII
1660.809,OIII]
1666.15,OIII]
1746.823,NIII]
1748.656,NIII]
1854.716,AlIII
1862.79,AlIII
1892.03,SiIII]
1908.734,CIII]
2142.78,NII]
2320.951,[OIII]
2323.5,CII]
2324.69,CII]
2648.71,[FeXI]
2733.289,HeII
2782.7,[MgV]
2795.528,MgII]
2802.705,MgII]
2829.36,[FeIV]
2835.74,[FeIV]
2853.67,[ArIV]
2868.21,[ArIV]
2928,[MgV]
2945.106,HeI
3132.794,OIII
3187.745,HeI
3203.1,HeII
3312.329,OIII
3345.821,[NeV]
3425.881,[NeV]
3444.052,OIII
3466.497,[NI]
3466.543,[NI]
3487.727,HeI
3586.32,[FeVII]
3662.5,[FeVI]
3686.831,H19
3691.551,H18
3697.157,H17
3703.859,H16
3711.977,H15
3721.945,H14
3726.032,[OII]
3728.815,[OII]
3734.369,H13
3750.158,H12
3758.92,[FeVII]
3770.637,H11
3797.904,H10
3835.391,H9
3839.27,[FeV]
3868.76,[NeIII]
3888.647,HeI
3889.064,H8
3891.28,[FeV]
3911.33,[FeV]
3967.47,[NeIII]
3970.079,HE
4026.19,HeI
4068.6,[SII]
4071.24,[FeV]
4076.349,[SII]
4101.742,HD
4143.761,HeI
4178.862,FeII
4180.6,[FeV]
4233.172,FeII
4227.19,[FeV]
4287.394,[FeII]
4303.176,FeII
4317.139,OII
4340.471,HG
4363.21,[OIII]
4412.3,[ArXIV]
4414.899,OII
4416.83,FeII
4452.098,[FeII]
4471.479,HeI
4489.183,FeII
4491.405,FeII
4510.91,NIII
4522.634,FeII
4555.893,FeII
4582.835,FeII
4583.837,FeII
4629.339,FeII
4634.14,NIII
4640.64,NIII
4641.85,NIII
4647.42,CIII
4650.25,CIII
4651.47,CIII
4658.05,[FeIII]
4685.71,HeII
4711.26,[ArIV]
4740.12,[ArIV]
4861.333,Hb
4893.37,[FeVII]
4903.07,[FeIV]
4923.927,FeII
4958.911,[OIII]
5006.843,[OIII]
5018.44,FeII
5084.77,[FeIII]
5145.75,[FeVI]
5158.89,[FeVII]
5169.033,FeII
5176.04,[FeVI]
5197.577,FeII
5200.257,[NI]
5234.625,FeII
5236.06,[FeIV]
5270.4,[FeIII]
5276.002,FeII
5276.38,[FeVII]
5302.86,[FeXIV]
5309.11,[CaV]
5316.615,FeII
5316.784,FeII
5335.18,[FeVI]
5424.22,[FeVI]
5517.709,[ClIII]
5537.873,[ClIII]
5637.6,[FeVI]
5677,[FeVI]
5695.92,CIII
5720.7,[FeVII]
5754.59,[NII]
5801.33,CIV
5811.98,CIV
5875.624,HeI
6046.44,OI
6087,[FeVII]
6300.304,[OI]
6312.06,[SIII]
6347.1,SiII
6363.776,[OI]
6369.462,FeII
6374.51,[FeX]
6516.081,FeII
6548.05,[NII]
6562.819,HA
6583.46,[NII]
6716.44,[SII]
6730.81,[SII]
7002.23,OI
7005.87,[ArV]
7065.196,HeI
7135.79,[ArIII]
7155.157,[FeII]
7170.62,[ArIV]
7172,[FeII]
7236.42,CII
7237.26,[ArIV]
7254.448,OI
7262.76,[ArIV]
7281.349,HeI
7319.99,[OII]
7330.73,[OII]
7377.83,[NiII]
7411.16,[NiII]
7452.538,[FeII]
7468.31,NI
7611,[SXII]
7751.06,[ArIII]
7816.136,HeI
7868.194,ArI
7889.9,[NiIII]
7891.8,[FeXI]
8236.79,HeII
8392.397,Pa20
8413.318,Pa19
8437.956,Pa18
8446.359,OI
8467.254,Pa17
8498.02,CaII
8502.483,Pa16
8542.09,CaII
8545.383,Pa15
8578.7,[ClII]
8598.392,Pa14
8616.95,[FeII]
8662.14,CaII
8665.019,Pa13
8680.282,NI
8703.247,NI
8711.703,NI
8750.472,Pa12
8862.782,Pa11
8891.91,[FeII]
9014.909,Pa10
9068.6,[SIII]
9229.014,Pa9
9531.1,[SIII]
9545.969,PaE
9824.13,[CI]
9850.26,[CI]
9913,[SVIII]
10027.73,HeI
10031.16,HeI
10049.368,PaD
10286.73,[SII]
10320.49,[SII]
10336.41,[SII]
10746.8,[FeXIII]
10830.34,HeI
10938.086,PaG
